domain,variant,metric,mean,ci_low,ci_high
hiring,ethical_no_oversight,approval_rate_g1,0.8768375955514675,0.83007573623387,0.9224069698358859
hiring,ethical_no_oversight,spd,-0.01779194501425574,-0.03418037554824627,-0.001403514480265211
hiring,ethical_no_oversight,disparate_impact,0.9794374445782694,0.9606761788379183,0.9978616688847961
hiring,ethical_no_oversight,tpr_gap,-0.015454424036929981,-0.020903048525674973,-0.00946967541515905
hiring,ethical_no_oversight,fpr_gap,-0.01355043987632416,-0.058197995904964994,0.031097116152316674
hiring,ethical_no_oversight,fnr_gap,0.015454424036929957,0.009469675415159006,0.02090304852567498
hiring,ethical_no_oversight,aod,-0.01450243195662707,-0.03924398579230983,0.01023912187905569
hiring,ethical_no_oversight,harm_rate,0.21331930171779007,0.20311137381277883,0.22372124902474147
hiring,ethical_no_oversight,escalation_rate,,,
hiring,ethical_no_oversight,override_rate,,,
hiring,ethical_no_oversight,corrected_error_rate,,,
hiring,ethical_no_oversight,oversight_gain,,,
hiring,ethical_with_oversight,accuracy,0.7710241465445462,0.7681890091590341,0.7740216486261449
hiring,ethical_with_oversight,balanced_accuracy,0.6169785877823999,0.5936351531128083,0.6413701581356626
hiring,ethical_with_oversight,roc_auc,0.7771985789509135,0.7722575254452164,0.7821396324566108
hiring,ethical_with_oversight,precision,0.78880961296331,0.7789839799107284,0.7987362199736708
hiring,ethical_with_oversight,recall,0.9419114772419774,0.9169668857256319,0.9669195961337191
hiring,ethical_with_oversight,utility,0.38422980849292254,0.3717235636969193,0.39673605328892586
hiring,ethical_with_oversight,approval_rate_g0,0.8863960413006637,0.8503206857709046,0.9210115897564677
hiring,ethical_with_oversight,approval_rate_g1,0.8734410986285841,0.8286963945191281,0.9165679038352763
hiring,ethical_with_oversight,spd,-0.012954942672079662,-0.031304054138905316,0.005394168794745991
hiring,ethical_with_oversight,disparate_impact,0.9848899122967533,0.9641936914060727,1.0055861331874336
hiring,ethical_with_oversight,tpr_gap,-0.010178939083359251,-0.01577762930816152,-0.004458337642228782
hiring,ethical_with_oversight,fpr_gap,-0.009663943960442766,-0.05501653430298315,0.03693916114396665
hiring,ethical_with_oversight,fnr_gap,0.010178939083359267,0.004458337642228803,0.015777629308161532
hiring,ethical_with_oversight,aod,-0.009921441521901008,-0.03544216988021348,0.015605710409950591
hiring,ethical_with_oversight,harm_rate,0.21119038703668994,0.2012637800263292,0.2210160200892715
hiring,ethical_with_oversight,escalation_rate,0.008492922564529558,0.007327227310574521,0.010324729392173188
hiring,ethical_with_oversight,override_rate,0.6976984126984127,0.4105555555555555,0.8771428571428572
hiring,ethical_with_oversight,corrected_error_rate,0.71,0.45999999999999996,0.9
hiring,ethical_with_oversight,oversight_gain,0.00021648626144878946,-0.0015154038301415484,0.0019483763530391274
hiring,label_correction_only,accuracy,0.7703580349708575,0.7653621981681933,0.7768526228143214
hiring,label_correction_only,balanced_accuracy,0.6364599139775218,0.6297784668315873,0.6418875547337317
hiring,label_correction_only,roc_auc,0.7769541616434849,0.771926311270157,0.7819820120168127
hiring,label_correction_only,precision,0.7987848435286173,0.7957430756239544,0.8017660026582911
hiring,label_correction_only,recall,0.9196667839220749,0.9133192985412897,0.92663684142698
hiring,label_correction_only,utility,0.37993338884263117,0.36741049125728564,0.39246128226477933
hiring,label_correction_only,approval_rate_g0,0.8574555543681874,0.8517804296374244,0.862806992067868
hiring,label_correction_only,approval_rate_g1,0.8375743272638276,0.8272432901685598,0.8479053643590955
hiring,label_correction_only,spd,-0.01988122710435989,-0.02538716776541261,-0.014375286443307166
hiring,label_correction_only,disparate_impact,0.9767675049899246,0.9702085343804742,0.9833264755993749
hiring,label_correction_only,tpr_gap,-0.016323215424811653,-0.022834735424719754,-0.009790454091487377
hiring,label_correction_only,fpr_gap,-0.014958707508582659,-0.0463184036212285,0.01655228854547597
hiring,label_correction_only,fnr_gap,0.016323215424811653,0.009790454091487405,0.02283473542471967
hiring,label_correction_only,aod,-0.015640961466697155,-0.030021304157019764,-0.0012850764407631777
hiring,label_correction_only,harm_rate,0.2012151564713828,0.19823399734170893,0.20425692437604553
hiring,label_correction_only,escalation_rate,,,
hiring,label_correction_only,override_rate,,,
hiring,label_correction_only,corrected_error_rate,,,
hiring,label_correction_only,oversight_gain,,,
hiring,no_sensitive_proxy,accuracy,0.5558701082431308,0.550541215653622,0.5623646960865946
hiring,no_sensitive_proxy,balanced_accuracy,0.660242384299019,0.6557589537922069,0.6642051367561349
hiring,no_sensitive_proxy,roc_auc,0.7718353421017131,0.7663263202516044,0.7774125013184008
hiring,no_sensitive_proxy,precision,0.9118004607178687,0.9076485718687488,0.9149081570231081
hiring,no_sensitive_proxy,recall,0.4392946926821121,0.4340054818485912,0.4450461451753046
hiring,no_sensitive_proxy,utility,-0.012539550374687741,-0.017718567860116555,-0.005861781848459606
hiring,no_sensitive_proxy,approval_rate_g0,0.3754154654884875,0.36797599553469007,0.3829999999999999
hiring,no_sensitive_proxy,approval_rate_g1,0.33336976785502237,0.3262405964777734,0.34291540243385205
hiring,no_sensitive_proxy,spd,-0.04204569763346512,-0.05363520069044049,-0.030456194576489747
hiring,no_sensitive_proxy,disparate_impact,0.8885371720077535,0.8591408191356968,0.9179335248798098
hiring,no_sensitive_proxy,tpr_gap,-0.049684778514203456,-0.06678080575480697,-0.030932995658797292
hiring,no_sensitive_proxy,fpr_gap,-0.003624334273492319,-0.0208077318583963,0.014155983055751508
hiring,no_sensitive_proxy,fnr_gap,0.04968477851420343,0.030932995658797258,0.06678080575480694
hiring,no_sensitive_proxy,aod,-0.026654556393847888,-0.04188422363411931,-0.010848701608694866
hiring,no_sensitive_proxy,harm_rate,0.08819953928213135,0.08509184297689183,0.09235142813125119
hiring,no_sensitive_proxy,escalation_rate,,,
hiring,no_sensitive_proxy,override_rate,,,
hiring,no_sensitive_proxy,corrected_error_rate,,,
hiring,no_sensitive_proxy,oversight_gain,,,
loan,baseline,accuracy,0.7355537052456287,0.7308909242298085,0.7387177352206494
loan,baseline,balanced_accuracy,0.5444555899435105,0.5376432934805063,0.5503556345332993
loan,baseline,roc_auc,0.7314909566456602,0.7244097631394876,0.7414424312297038
loan,baseline,precision,0.7474974974974975,0.7314814814814815,0.7665665665665665
loan,baseline,recall,0.1028531623401829,0.0869388033488499,0.11719590491063683
loan,baseline,utility,-0.12805995004163195,-0.1308909242298085,-0.125811823480433
loan,baseline,approval_rate_g0,0.0799434048165992,0.06827129015987259,0.09100267391585112
loan,baseline,approval_rate_g1,0.0003252032520325203,0.0,0.000975609756097561
loan,baseline,spd,-0.07961820156456668,-0.0906774706638186,-0.06794608690784007
loan,baseline,disparate_impact,0.003595643503604847,0.0,0.01078693051081454
loan,baseline,tpr_gap,-0.1998207774305265,-0.22411360455049403,-0.16991394513238986
loan,baseline,fpr_gap,-0.029112014940459386,-0.03462367549934198,-0.023049600442070155
loan,baseline,fnr_gap,0.1998207774305265,0.1699139451323899,0.22411360455049403
loan,baseline,aod,-0.11446639618549295,-0.1293604122809654,-0.09704075447068924
loan,baseline,harm_rate,0.2525025025025025,0.23343343343343345,0.2685185185185185
loan,baseline,escalation_rate,,,
loan,baseline,override_rate,,,
loan,baseline,corrected_error_rate,,,
loan,baseline,oversight_gain,,,
loan,ethical_no_oversight,accuracy,0.7352206494587843,0.7322231473771857,0.738218151540383
loan,ethical_no_oversight,balanced_accuracy,0.5396265996271566,0.5306021531870042,0.5506325932788643
loan,ethical_no_oversight,roc_auc,0.7986700399980354,0.788261440223007,0.8118980801977147
loan,ethical_no_oversight,precision,0.822104957622199,0.7576430976430976,0.8689910600255428
loan,ethical_no_oversight,recall,0.08787559465957337,0.06607669616519174,0.1150722117073337
loan,ethical_no_oversight,utility,-0.12281432139883433,-0.12905911740216489,-0.11698584512905912
loan,ethical_no_oversight,approval_rate_g0,0.03183373843289283,0.02613363935431844,0.037646480674440055
loan,ethical_no_oversight,approval_rate_g1,0.030393220064081482,0.017240758632148332,0.051106574111882394
loan,ethical_no_oversight,spd,-0.0014405183688113465,-0.012712275774546066,0.015365299254859566
loan,ethical_no_oversight,disparate_impact,0.9117647799342901,0.5960388105941891,1.3754529376681073
loan,ethical_no_oversight,tpr_gap,0.0005848388727510937,-0.023004091495669676,0.034693744661502414
